,name,region,subregion,votes,rating,length,lengthtype,gain,hpoint,fee,lat,long,trailhead1,trailhead2,author1,author2,countreports,Wildflowers/Meadows,Mountain views,Dogs allowed on leash,Established campsites,Waterfalls,Good for kids,Fall foliage,Ridges/passes,Wildlife,Old growth,Summits,Lakes,Rivers,Coast
324,Echo Mountain,Puget Sound and Islands,Seattle-Tacoma Area,4,3.50,4.0,roundtrip,400,880,Discover Pass,47.4370,-122.0941,King County Parks and Recreation,,,,27,0,0,1,0,0,1,0,0,0,0,0,0,0,0
325,Loowit Trail,South Cascades,Mount St. Helens,16,3.69,28.0,roundtrip,6000,4800,Northwest Forest Pass,46.2497,-122.1363,Loowit (#216),Mount St. Helens National Volcanic Monument,,,118,1,1,0,1,1,0,0,1,0,0,0,0,1,0
326,Palouse to Cascades Trail - The Tunnel,Snoqualmie Region,Snoqualmie Pass,12,3.42,5.3,roundtrip,,1100,Discover Pass,47.3930,-121.3928,"Palouse to Cascades Trail (#), John Wayne Pioneer Trail (#)",Washington State Parks,WTA Correspondents,Ken Peterson,126,0,0,1,0,0,1,0,0,0,0,0,0,0,0
327,Trap Pass,Central Cascades,Stevens Pass - West,5,3.00,11.4,roundtrip,2700,5800,None,47.7093,-121.1066,Trap Pass (#1060.1),"Mt. Baker-Snoqualmie National Forest, Skykomish Ranger District",WTA Community,Multiple authors contributed to this report,37,1,1,0,0,1,0,0,1,0,0,0,1,0,0
328,Johnson Ridge,Central Cascades,Stevens Pass - West,22,4.18,4.0,roundtrip,2650,5540,Northwest Forest Pass,47.7966,-121.2622,Johnson Ridge (#1067),"Mt. Baker-Snoqualmie National Forest, Skykomish Ranger District",WTA Correspondents,Travis Cox,187,1,1,1,0,0,0,0,1,0,0,1,0,0,0
329,Mount Washington,Snoqualmie Region,Snoqualmie Pass,72,4.00,8.5,roundtrip,3250,4450,Discover Pass,47.4420,-121.6722,City of Seattle,,WTA Correspondents,Adam Setzer,807,1,1,1,0,0,0,0,0,0,1,1,0,0,0
330,Coyote Creek,Issaquah Alps,Cougar Mountain,1,5.00,,,,,,,,Cougar Mountain Regional Park,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,Manastash Lake,Central Washington,Yakima,6,3.50,8.0,roundtrip,2100,5063,Northwest Forest Pass,47.0248,-120.9406,Manastash Lake (#1350),"Mt. Baker-Snoqualmie National Forest, Cle Elum Ranger District",WTA Correspondents,Maxwell Krem,53,1,0,1,1,0,1,1,0,1,0,0,1,0,0
332,Sheep Lake to Sourdough Gap,Mount Rainier Area,Chinook Pass - Hwy 410,21,3.67,6.0,roundtrip,1100,6400,Northwest Forest Pass,46.8911,-121.5057,Pacific Crest Trail (#2000),"Okanogan-Wenatchee National Forest, Naches Ranger District",WTA Correspondents,Patricia Coulthard,199,1,1,1,0,0,1,0,0,1,0,0,1,0,0
333,Silver Peak,Snoqualmie Region,Snoqualmie Pass,29,4.48,5.6,roundtrip,2100,5605,Northwest Forest Pass,47.3660,-121.4199,Pacific Crest Trail (#2000),"Okanogan-Wenatchee National Forest, Cle Elum Ranger District",WTA Correspondents,Maxwell Krem,268,1,1,0,0,0,0,0,1,0,0,1,1,0,0
334,Packwood Lake,South Cascades,Goat Rocks,27,3.93,10.0,roundtrip,600,3200,Northwest Forest Pass,46.6084,-121.6271,"Packwood Lake (#78),  (#)","Gifford Pinchot National Forest, Cowlitz Valley Ranger District",WTA Correspondents,Brittany Manwill,235,0,1,0,1,0,1,0,0,0,0,0,1,1,0
335,Cascade Falls,Puget Sound and Islands,San Juan Islands,2,4.00,3.0,roundtrip,200,690,Discover Pass,48.6480,-122.8460,"Washington State Parks, Moran State Park",,WTA Correspondents,McKenzie Carlson,6,0,0,1,0,1,1,0,0,0,1,0,0,0,0
336,North Fork Sauk Falls,North Cascades,Mountain Loop Highway,8,4.00,0.4,roundtrip,200,1500,Northwest Forest Pass,48.0985,-121.3709,North Fork Sauk Falls (#660),"Mt. Baker-Snoqualmie National Forest, Darrington Ranger District",,,54,0,0,1,0,1,1,0,0,0,1,0,0,1,0
337,Monument Creek,North Cascades,Pasayten,9,3.33,42.6,roundtrip,2900,7200,"None, Northwest Forest Pass",48.6583,-120.5266,Monument Creek (#484),"Pasayten Wildernesss, Methow Valley Ranger District",WTA Correspondents,McKenzie Carlson,23,1,1,0,0,0,0,0,1,0,0,0,0,0,0
338,Chelan Summit,North Cascades,Methow/Sawtooth,2,3.00,38.0,one-way,6500,,,48.1071,-120.3385,Summit Trail (#1261),,WTA Community,Lace Thornberg,14,1,1,1,1,0,0,0,1,1,0,1,1,0,0
339,Spade Lake,Snoqualmie Region,Salmon La Sac/Teanaway,10,3.30,25.6,roundtrip,2300,5400,Northwest Forest Pass,47.4184,-121.0862,Spade Lake (#1337),"Okanogan-Wenatchee National Forest, Cle Elum Ranger District",,,50,1,1,0,0,0,0,0,0,0,1,0,1,1,0
340,Pear Lake,Central Cascades,Leavenworth Area,5,3.40,12.0,roundtrip,2600,5200,Northwest Forest Pass,47.8681,-121.0711,"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District",,,,25,1,0,1,1,0,0,0,0,0,0,0,1,0,0
341,Lava Canyon,South Cascades,Mount St. Helens,16,3.94,5.0,roundtrip,1600,2800,Northwest Forest Pass,46.1654,-122.0890,Lava Canyon (#184),Mount St. Helens National Volcanic Monument,WTA Correspondents,Ryan Schreiner,78,0,0,0,0,1,1,0,0,0,0,0,0,1,0
342,Ape Caves,South Cascades,Mount St. Helens,48,4.48,2.8,roundtrip,350,2450,Northwest Forest Pass,46.1083,-122.2115,Ape Cave (#239),Gifford Pinchot National Forest - Mount St. Helens National Volcanic Monument,WTA Correspondents,Ken Giesbers,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,Queets Campground Loop,Olympic Peninsula,Pacific Coast,6,3.50,2.8,roundtrip,50,300,National Park Pass,47.6164,-124.0321,Queets Campground Loop (#),"Olymic National Park, Wilderness Information Center",WTA Correspondents,Wes Partch,10,1,1,0,1,0,1,1,0,1,1,0,0,1,0
344,Fletcher Canyon,Olympic Peninsula,Pacific Coast,8,3.00,3.8,roundtrip,1100,1400,,47.5277,-123.7065,Fletcher Canyon (#857),"Olympic National Forest, Pacific Ranger District, Quinault ",,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,Lake Dorothy - Lake Bear - Lake Deer,Central Cascades,Stevens Pass - West,32,3.78,11.5,roundtrip,1600,3800,Northwest Forest Pass,47.6089,-121.3861,Lake Dorothy (#1072),"Mt. Baker-Snoqualmie National Forest, Skykomish and Snoqualmie Ranger Districts ",WTA Correspondents,Alan Gibbs,466,0,1,1,1,1,1,0,1,0,0,0,1,0,0
346,Turtleback Mountain Preserve: Ship Peak Loop,Puget Sound and Islands,San Juan Islands,3,4.33,2.9,roundtrip,860,931,None,48.6416,-122.9771,"San Juan County Land Bank, Turtleback Mountain Preserve",,,,18,0,1,1,0,0,1,0,0,0,0,0,0,0,1
347,Lake George,Mount Rainier Area,SW - Longmire/Paradise,8,3.00,9.2,roundtrip,930,,National Park Pass,46.7834,-121.8876,Mount Rainier National Park,,WTA Community,Multiple authors contributed to this report,35,0,1,0,1,1,1,0,0,0,1,0,1,1,0
348,Diablo Lake,North Cascades,North Cascades Highway - Hwy 20,23,3.17,7.6,roundtrip,1400,1950,None,48.7206,-121.1216,"North Cascades National Park, Ross Lake National Recreation Area",,WTA Staff,Anna Roth,122,0,1,1,0,0,0,0,0,0,0,0,1,0,0
349,Cape Flattery,Olympic Peninsula,Pacific Coast,39,4.23,1.5,roundtrip,200,250,,48.3844,-124.7157,Makah Indian Nation,,WTA Staff,Anna Roth,129,0,0,1,0,0,1,0,0,1,0,0,0,0,1
350,Deception Falls National Recreation Area,Central Cascades,Stevens Pass - West,10,3.30,0.5,roundtrip,50,,None,47.7146,-121.1934,Deception Falls NRA (#1078),"Mt. Baker-Snoqualmie National Forest, Skykomish Ranger District",WTA Community,Multiple authors contributed to this report,74,0,0,0,0,1,1,0,0,0,1,0,0,0,0
351,Park Butte,North Cascades,Mount Baker Area,51,4.47,7.5,roundtrip,2200,5450,Northwest Forest Pass,48.7067,-121.8122,Park Butte (#603),"Mt. Baker-Snoqualmie National Forest, Mount Baker Ranger District",WTA Correspondents,Maxwell Krem,408,1,1,1,1,1,0,1,0,1,0,1,1,1,0
352,Schaefer Lake,Central Cascades,Stevens Pass - East,6,3.50,9.0,roundtrip,3200,5195,Northwest Forest Pass,47.9529,-120.7726,Schaefer Lake (#1519),"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District",WTA Correspondents,Rob Shurtleff,42,1,1,0,0,0,0,1,0,0,1,0,1,0,0
353,Leroy Creek High Route,Central Cascades,,6,2.33,,,,,,48.0686,-120.8413,Leroy Creek High Route (#1512),"Wenatchee National Forest, Wenatchee River Ranger District",,,59,1,1,0,0,1,0,1,1,0,0,0,1,0,0
354,Spider Meadow and Phelps Basin,Central Cascades,Stevens Pass - East,23,4.09,13.0,roundtrip,1900,5400,Northwest Forest Pass,48.0829,-120.8350,Spider Meadows (#1511),"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District",WTA Correspondents,Rob Shurtleff,182,1,1,0,1,0,0,0,0,1,1,0,0,0,0
355,Buck Creek Pass,Central Cascades,Stevens Pass - East,6,3.83,19.2,roundtrip,,6000,Northwest Forest Pass,48.0771,-120.8579,Buck Creek Pass (#1513),"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District",,,95,1,1,1,0,0,0,0,1,1,0,0,0,0,0
356,Pacific Crest Trail (PCT) Section L - Rainy Pass to Manning Park,North Cascades,North Cascades Highway - Hwy 20,6,3.50,70.3,one-way,13649,7100,,48.5247,-120.7358,Pacific Crest Trail Section L - Rainy Pass to Manning Park (#2000),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",WTA Community,Multiple authors contributed to this report,43,0,1,0,0,0,0,1,1,0,0,0,0,0,0
357,Lake Ann (Rainy Pass),North Cascades,North Cascades Highway - Hwy 20,18,4.17,3.4,roundtrip,700,5500,Northwest Forest Pass,48.5156,-120.7362,"Maple Pass (#740), Lake Ann (#740A)","Okanogan-Wenatchee National Forest, Methow Ranger District",WTA Community,Multiple authors contributed to this report,70,1,1,1,1,1,1,1,1,0,1,0,1,0,0
358,Golden Horn - Snowy Lakes,North Cascades,North Cascades Highway - Hwy 20,9,3.89,23.0,roundtrip,2700,6900,Northwest Forest Pass,48.5156,-120.7362,Pacific Crest Trail (#2000),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",WTA Community,Multiple authors contributed to this report,67,1,1,0,1,0,0,1,1,0,0,0,1,0,0
359,Harts Pass to Rainy Pass,North Cascades,North Cascades Highway - Hwy 20,1,5.00,30.6,one-way,3800,6900,Northwest Forest Pass,48.7022,-120.6730,Okanogan-Wenatchee National Forest,,WTA Correspondents,McKenzie Carlson,3,1,1,0,1,0,0,0,1,1,1,0,1,1,0
360,Rainy Lake,North Cascades,North Cascades Highway - Hwy 20,5,3.00,2.0,roundtrip,70,4800,Northwest Forest Pass,48.5150,-120.7355,Rainy Lake (#310),,WTA Correspondents,Yas Obara,55,0,1,1,0,1,1,1,0,0,0,0,1,0,0
361,Cutthroat Pass via Cutthroat Lake,North Cascades,North Cascades Highway - Hwy 20,6,3.17,11.4,roundtrip,2300,6800,Northwest Forest Pass,48.5564,-120.6547,Cutthroat Pass (#483),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",WTA Community,Multiple authors contributed to this report,104,1,1,1,0,0,0,1,1,0,0,0,0,0,0
362,Cutthroat Pass via the Pacific Crest Trail,North Cascades,North Cascades Highway - Hwy 20,13,3.77,10.0,roundtrip,2000,6800,Northwest Forest Pass,48.5181,-120.7331,Cutthroat Pass (#2000),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",WTA Staff,Anna Roth,174,1,1,1,1,0,0,0,1,1,0,0,0,0,0
363,Lone Fir,North Cascades,North Cascades Highway - Hwy 20,5,3.80,2.0,roundtrip,,,,48.5799,-120.6270,Lone Fir (#535),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",,,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0
364,Bridge Creek - McAlester Pass to Stehekin,North Cascades,North Cascades Highway - Hwy 20,4,3.75,38.0,roundtrip,2500,4000,Northwest Forest Pass,48.5075,-120.7312,Bridge Creek (#419),North Cascades National Park,WTA Community,Multiple authors contributed to this report,26,1,1,0,1,1,0,1,0,1,0,0,1,1,0
365,Washington Pass Overlook,North Cascades,North Cascades Highway - Hwy 20,8,3.38,0.25,roundtrip,,5476,,48.5245,-120.6581,Washington Pass Overlook (#585),Okanogan-Wenatchee National Forest,,,34,0,1,1,0,0,1,0,0,0,0,0,0,0,0
366,Cutthroat Lake,North Cascades,North Cascades Highway - Hwy 20,10,3.70,3.8,roundtrip,400,4900,Northwest Forest Pass,48.5563,-120.6547,Cutthroat Lake (#483),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",WTA Correspondents,Linda Roe,71,0,1,1,0,0,1,1,0,0,0,0,1,0,0
367,Gold Creek Pond,Snoqualmie Region,Snoqualmie Pass,17,4.29,1.0,roundtrip,10,3000,Northwest Forest Pass,47.4094,-121.3677,Gold Creek Pond (#1250),"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",WTA Community,Multiple authors contributed to this report,117,1,1,1,0,0,1,0,0,1,0,0,1,0,0
368,Squak Mountain,Issaquah Alps,Squak Mountain,16,3.06,6.6,roundtrip,1684,2024,Discover Pass,47.4818,-122.0542,Washington State Parks ,,,,110,1,1,1,0,0,0,0,0,1,0,0,0,1,0
369,Hidden Lake (Lake Wenatchee),Central Cascades,Stevens Pass - East,15,3.40,1.6,roundtrip,220,2320,Northwest Forest Pass,47.8216,-120.8064,Hidden Lake (#1510),"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District, Leavenworth",WTA Correspondents,Rob Shurtleff,55,0,0,0,1,0,1,0,0,0,1,0,1,0,0
370,Grove of the Patriarchs Loop,Mount Rainier Area,SE - Cayuse Pass/Steven's Canyon,21,3.62,1.5,roundtrip,50,2200,,46.7580,-121.5576,"Mount Rainier National Park, Ohanapecosh Visitor Center (Jun - Oct)",,WTA Correspondents,Tami Asars,122,0,0,0,0,0,1,0,0,0,1,0,0,1,0
371,Goat Peak Lookout,North Cascades,Methow/Sawtooth,15,3.13,5.0,roundtrip,1400,7001,Northwest Forest Pass,48.6515,-120.4022,Goat Peak (#457),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",WTA Correspondents,Paul Kriloff,87,1,1,0,0,0,1,1,0,0,0,1,0,0,0
372,Copper Glance Lake,North Cascades,Pasayten,6,4.17,6.0,roundtrip,2800,6350,None,48.7411,-120.2923,Copper Glance (#519),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",,,26,1,0,0,0,0,0,1,0,0,1,0,1,0,0
373,Spokane Gulch,North Cascades,Methow/Sawtooth,0,0.00,2.5,one-way,,,None,48.5972,-120.4003,"Okanogan-Wenatchee National Forest, Methow Ranger District",,WTA Correspondents,Austin Smith,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0
374,Sweetgrass Butte,North Cascades,Methow/Sawtooth,0,0.00,1.5,roundtrip,,,Northwest Forest Pass,,,"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",,,,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0
375,Burch Mountain,North Cascades,Pasayten,4,2.00,10.0,roundtrip,3200,7782,Northwest Forest Pass,48.7844,-120.3177,Burch Mountain (#502),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",,,6,1,1,0,0,0,0,1,1,0,0,0,0,0,0
376,Larch Creek,North Cascades,Pasayten,4,3.25,32.4,roundtrip,3300,7500,Northwest Forest Pass,48.7825,-120.3179,Larch Creek (#502),Okanogan-Wenatchee National Forest,WTA Correspondents,McKenzie Carlson,9,1,1,0,1,0,0,1,1,1,0,0,0,1,0
377,Billy Goat Loop,North Cascades,Pasayten,0,0.00,50.0,roundtrip,5000,7500,Northwest Forest Pass,,,"Okangan-Wenatchee National Forest, Tonasket Ranger District",,WTA Staff,Andrea Imler,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0
378,Hidden Lakes,North Cascades,Pasayten,5,4.60,34.2,roundtrip,2300,5800,Northwest Forest Pass,48.7856,-120.2034,Hidden Lakes (#477),Okanogan-Wenatchee National Forest,WTA Correspondents,McKenzie Carlson,13,1,1,0,0,0,0,0,1,1,0,0,0,0,0
379,Billy Goat,North Cascades,Pasayten,4,2.75,9.8,roundtrip,2200,6600,Northwest Forest Pass,48.7825,-120.3179,Billy Goat (#502.1),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",WTA Correspondents,McKenzie Carlson,20,1,1,0,0,0,0,0,1,1,0,0,0,0,0
380,Clark's Creek Park Loop,Puget Sound and Islands,Seattle-Tacoma Area,2,3.50,5.5,roundtrip,,,None,47.1806,-122.3161,City of Puyallup,,,,9,0,0,1,0,0,1,1,0,1,0,0,0,0,0
381,Chambers Bay Loop,Puget Sound and Islands,Seattle-Tacoma Area,11,4.73,3.25,roundtrip,315,234,None,47.2117,-122.5696,Pierce County Parks,,,,65,0,1,1,0,0,1,0,0,1,0,0,0,0,1
382,Kachess Lake,Snoqualmie Region,Snoqualmie Pass,7,3.57,1.0,roundtrip,50,2300,Northwest Forest Pass,47.3587,-121.2460,Kachess Lake Shore (#1301),"Okanogan-Wenatchee National Forest, Cle Elum Ranger District",,,17,0,0,0,0,0,1,0,0,0,1,0,1,0,0
383,Mohawk Falls and Mohawk Mine,Central Cascades,Stevens Pass - West,2,5.00,0.6,roundtrip,200,1500,None,47.6753,-121.3923,Skykomish Ranger District,,,,17,0,0,1,0,1,1,0,0,0,1,0,0,0,0
384,Nada Lake,Central Cascades,Leavenworth Area,6,3.67,10.6,roundtrip,3600,5200,Northwest Forest Pass,47.4963,-120.7391,"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District",,WTA Correspondents,Paul Kriloff,62,0,1,0,1,0,0,0,0,0,0,0,1,0,0
385,Aasgard Pass,Central Cascades,Leavenworth Area,6,4.17,12.2,roundtrip,4400,7800,Northwest Forest Pass,47.5279,-120.8207,"Lake Stuart (#1599), Colchuck Lake (#1599.1)","Okanogan-Wenatchee National Forest, Wenatchee River Ranger District",WTA Staff,Anna Roth,180,0,1,0,0,1,0,1,1,0,0,0,1,1,0
386,Lake Ingalls,Snoqualmie Region,Salmon La Sac/Teanaway,74,4.22,9.0,roundtrip,2500,6500,Northwest Forest Pass,47.4367,-120.9372,Ingalls Way (#1390),"Okanogan-Wenatchee National Forest, Cle Elum Ranger District",WTA Correspondents,Kim Hull,701,1,1,0,1,1,0,1,1,1,0,0,1,0,0
387,Esmeralda Basin (Esmerelda),Snoqualmie Region,Salmon La Sac/Teanaway,20,4.20,7.0,roundtrip,1750,5960,Northwest Forest Pass,47.4361,-120.9372,Esmeralda Basin (#1394),"Okanogan-Wenatchee National Forest, Cle Elum Ranger District",WTA Correspondents,Kim Hull,259,1,1,1,1,0,0,0,1,0,0,0,0,0,0
388,Margaret Lake,Snoqualmie Region,Snoqualmie Pass,17,2.94,6.0,roundtrip,1500,5100,Northwest Forest Pass,47.3642,-121.3582,Margaret Lake (#1332.1),"Okanogan-Wenatchee National Forest, Cle Elum Ranger District",WTA Correspondents,Teddy Wingo,188,0,1,1,0,0,0,0,1,0,0,0,1,0,0
389,Mount Adams South Climb,South Cascades,Mount Adams Area,17,4.71,12.0,roundtrip,6700,12276,Northwest Forest Pass,46.1359,-121.4976,South Climb (#183),"Gifford Pinchot National Forest, Mount Adams Ranger District",WTA Community,Multiple authors contributed to this report,253,0,1,1,1,0,0,0,0,0,0,1,0,1,0
390,Sulphur Creek,North Cascades,Mountain Loop Highway,7,3.57,3.6,roundtrip,900,2250,,48.2498,-121.1936,Sulphur Creek (#793),"Mt. Baker-Snoqualmie National Forest, Darrington Ranger District",,,23,0,0,0,0,0,0,0,0,0,1,0,0,1,0
391,Crystal Peak,Mount Rainier Area,NE - Sunrise/White River,21,3.90,8.0,roundtrip,3100,6595,None,46.9227,-121.5336,Mount Rainier National Park,,WTA Staff,Anna Roth,156,1,1,0,0,0,0,0,0,1,1,1,0,0,0
392,Scorpion Mountain,Central Cascades,Stevens Pass - West,9,4.44,8.6,roundtrip,2500,5540,None,47.7966,-121.2622,"Mt. Baker-Snoqualmie National Forest, Skykomish Ranger District",,WTA Correspondents,Travis Cox,88,1,1,1,0,0,0,1,1,0,0,1,1,0,0
393,Mount Teneriffe,Snoqualmie Region,North Bend Area,20,3.50,13.8,roundtrip,3800,4788,Discover Pass,47.4861,-121.7011,Washington State Department of Natural Resources,,WTA Community,Multiple authors contributed to this report,496,1,1,1,0,1,0,0,0,0,0,0,0,0,0
394,Old Sauk River Trail,North Cascades,Mountain Loop Highway,23,2.91,6.0,roundtrip,150,800,None,48.2154,-121.5588,Old Sauk (#728),"Mt. Baker-Snoqualmie National Forest, Darrington Ranger District",WTA Correspondents,Linda Roe,186,0,0,1,0,0,1,1,0,1,1,0,0,1,0
395,Fisher Lake,Central Cascades,Stevens Pass - West,8,3.62,10.0,roundtrip,1580,5171,Northwest Forest Pass,47.6791,-121.2652,Fisher Lake (#1058),"Mt. Baker-Snoqualmie National Forest, Skykomish Ranger District",WTA Correspondents,Linda Roe,44,1,1,1,1,0,0,0,0,1,0,0,1,0,0
396,Quartzite Mountain,Eastern Washington,Selkirk Range,4,4.00,3.0,roundtrip,,3714,None,48.2738,-117.6562,Colville National Forest,,,,11,1,1,1,0,0,0,0,0,0,0,1,0,0,0
397,Bluff Mountain,Southwest Washington,Lewis River Region,7,2.71,12.0,roundtrip,890,4390,None,45.7423,-122.1910,Bluff Mountain (#172),"Gifford Pinchot National Forest, Mt. Adams Ranger District",WTA Staff,Ryan Ojerio,8,1,1,1,0,0,0,1,1,0,0,1,0,0,0
398,Silver Star Mountain,Southwest Washington,Lewis River Region,11,4.09,4.0,roundtrip,1000,4390,None,45.7682,-122.2428,Silver Star Mountain (#180),"Gifford Pinchot National Forest, Mount Adams Ranger District",WTA Staff,Anna Roth,65,1,1,1,0,0,0,1,1,0,0,1,0,0,0
399,Northern State Ghost Town,North Cascades,North Cascades Highway - Hwy 20,5,3.20,5.0,roundtrip,50,182,None,48.5255,-122.1946,Skagit County Parks and Recreation,,WTA Community,Exploring History in Your Hiking Boots,60,0,0,1,0,0,1,1,0,0,0,0,0,0,0
400,Guemes Mountain,Puget Sound and Islands,Bellingham Area,5,3.80,2.3,roundtrip,550,,None,48.5445,-122.5945,Skagit Land Trust,,,,36,0,1,0,0,0,0,0,0,0,0,1,0,0,1
401,Port of Skagit Trails,Puget Sound and Islands,Bellingham Area,1,4.00,10.0,of,,,None,48.4575,-122.4136,Port of Skagit,,,,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0
402,Breazeale Interpretive Center,Puget Sound and Islands,Bellingham Area,3,3.67,1.5,roundtrip,,,,48.4837,-122.4777,,,,,6,0,0,0,0,0,1,0,0,1,0,0,0,0,1
403,Gillette Lake and Greenleaf Overlook,Southwest Washington,Columbia River Gorge - WA,2,4.00,8.6,roundtrip,650,875,Northwest Forest Pass,45.6505,-121.9331,"Pacific Crest Trail (PCT) (#2000), Tamanous Trail (#27)",Columbia River Gorge National Scenic Area,WTA Staff,Anna Roth,7,1,1,1,1,0,0,1,0,1,1,0,1,1,0
404,Wallace Falls - Lake Loop,Central Cascades,Stevens Pass - West,14,3.36,9.0,roundtrip,1544,1844,Discover Pass,47.8670,-121.6782,Washington State Parks,,WTA Correspondents,Linda Roe,159,0,0,1,1,1,0,0,0,0,0,0,1,1,0
405,Mount Spokane State Park - Trail 132,Eastern Washington,Spokane Area/Coeur d'Alene,0,0.00,0.5,one-way,375,4794,Discover Pass,47.9047,-117.1025,Washington State Parks,,WTA Correspondents,Holly Weiler,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
406,Bench and Snow Lakes,Mount Rainier Area,SE - Cayuse Pass/Steven's Canyon,15,4.13,2.5,roundtrip,610,4725,National Park Pass,46.7678,-121.7076,"Mount Rainier National Park, Henry M. Jackson Visitor Center",,WTA Correspondents,Ken Giesbers,127,1,1,0,1,0,0,0,0,0,0,0,1,0,0
407,Blanca Lake,Central Cascades,Stevens Pass - West,119,4.43,7.5,roundtrip,3300,4600,Northwest Forest Pass,47.9154,-121.3124,Blanca Lake (#1052),"Mt. Baker Snoqualmie National Forest, Skykomish Ranger District",WTA Staff,Anna Roth,627,0,1,1,1,1,0,0,0,0,1,1,1,0,0
408,Dry Creek Falls,Southwest Washington,Columbia River Gorge - OR,3,3.33,4.6,roundtrip,860,870,Northwest Forest Pass,45.6624,-121.8965,Columbia River Gorge National Scenic Area,,WTA Correspondents,Shannon Leader,5,1,0,1,0,1,1,0,0,0,0,0,0,0,0
409,Living Legacy Interpretive Trail,Olympic Peninsula,Hood Canal,4,2.75,1.5,roundtrip,,,Northwest Forest Pass,47.5954,-123.1229,Living Legacy Interpretive (#802),"Olympic National Forest, Hood Canal Ranger District",,,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
410,Mildred Lakes,Olympic Peninsula,Hood Canal,16,3.50,9.0,roundtrip,2300,4100,Northwest Forest Pass,47.5753,-123.2612,Mildred Lakes (#822),"Olympic National Forest, Hood Canal Ranger District",WTA Community,Multiple authors contributed to this report,89,0,0,0,0,0,0,0,0,0,0,0,1,0,0
411,Lake of the Angels,Olympic Peninsula,Hood Canal,21,4.48,7.0,roundtrip,3400,4950,None,47.5836,-123.2347,Putvin Trail (#813),"Olympic National Forest, Hood Canal Ranger District",WTA Community,Multiple authors contributed to this report,187,1,1,0,0,1,0,0,0,1,0,0,1,0,0
412,Glacier Vista - Panorama Point,Mount Rainier Area,SW - Longmire/Paradise,7,4.00,5.0,roundtrip,1300,6700,National Park Pass,46.7860,-121.7350,"Mount Rainier National Park, Henry M. Jackson Visitor Center",,WTA Community,Multiple authors contributed to this report,55,1,1,0,0,0,0,0,0,1,0,0,0,0,0
413,Whistle Punk Trail,Southwest Washington,Columbia River Gorge - WA,4,2.50,1.5,roundtrip,,1200,Northwest Forest Pass,45.8101,-121.9436,Whistle Punk (#59),"Gifford Pinchot National Forest, Mount Adams Ranger District",WTA Staff,Anna Roth,9,1,0,1,0,0,1,0,0,1,1,0,0,0,0
414,Cougar Mountain (Entiat),Central Cascades,Entiat Mountains/Lake Chelan,6,2.83,10.0,roundtrip,1200,6700,,47.8440,-120.6025,Cougar Mountain (#1415),"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District, Leavenworth",,,6,1,1,0,1,0,0,0,0,0,0,1,0,1,0
415,Abernathy Pass via Cedar Creek,North Cascades,North Cascades Highway - Hwy 20,8,3.75,18.0,roundtrip,3400,6400,,48.5792,-120.4787,Abernathy Pass (#476),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District ",,,10,0,0,1,1,1,0,1,1,0,0,0,0,0,0
416,Lena Lake,Olympic Peninsula,Hood Canal,62,4.11,7.2,roundtrip,1300,2000,Northwest Forest Pass,47.5997,-123.1512,Lena Lake (#810),"Olympic National Forest, Hood Canal Ranger District",WTA Staff,Anna Roth,656,1,1,1,1,1,1,0,0,0,1,0,1,0,0
417,Upper Lena Lake,Olympic Peninsula,Hood Canal,24,4.25,14.0,roundtrip,3900,4600,Northwest Forest Pass,47.6009,-123.1456,"Lena Lake (#810), Upper Lena Lake (#811)",Olympic National Park,,,183,1,1,0,1,1,0,0,0,1,1,0,1,0,0
